销售日期,分类编码,销量(千克)
2020-07-17,1011010101,195.67
2020-07-17,1011010201,44.198
2020-07-17,1011010402,10.727
2020-07-17,1011010501,37.251
2020-07-17,1011010504,61.025
2020-07-17,1011010801,51.908
2020-07-18,1011010101,274.265
2020-07-18,1011010201,61.088
2020-07-18,1011010402,10.418
2020-07-18,1011010501,56.585
2020-07-18,1011010504,85.051
2020-07-18,1011010801,71.69200000000001
2020-07-19,1011010101,319.791
2020-07-19,1011010201,76.351
2020-07-19,1011010402,11.124
2020-07-19,1011010501,71.772
2020-07-19,1011010504,102.711
2020-07-19,1011010801,79.821
2020-07-20,1011010101,204.997
2020-07-20,1011010201,47.431
2020-07-20,1011010402,9.548
2020-07-20,1011010501,33.947
2020-07-20,1011010504,67.35
2020-07-20,1011010801,52.617
2020-07-21,1011010101,214.99
2020-07-21,1011010201,49.005
2020-07-21,1011010402,12.744
2020-07-21,1011010501,27.094
2020-07-21,1011010504,56.993
2020-07-21,1011010801,45.905
2020-07-22,1011010101,232.41
2020-07-22,1011010201,53.675
2020-07-22,1011010402,10.85
2020-07-22,1011010501,48.247
2020-07-22,1011010504,81.309
2020-07-22,1011010801,66.678
2020-07-23,1011010101,199.984
2020-07-23,1011010201,39.425
2020-07-23,1011010402,30.417
2020-07-23,1011010501,44.142
2020-07-23,1011010504,57.639
2020-07-23,1011010801,56.759
2020-07-24,1011010101,176.325
2020-07-24,1011010201,37.695
2020-07-24,1011010402,11.74
2020-07-24,1011010501,34.97
2020-07-24,1011010504,57.58
2020-07-24,1011010801,49.201
2020-07-25,1011010101,227.137
2020-07-25,1011010201,57.421
2020-07-25,1011010402,10.424
2020-07-25,1011010501,61.874
2020-07-25,1011010504,94.206
2020-07-25,1011010801,67.013
2020-07-26,1011010101,250.825
2020-07-26,1011010201,64.119
2020-07-26,1011010402,12.988
2020-07-26,1011010501,69.521
2020-07-26,1011010504,102.06099999999999
2020-07-26,1011010801,71.295
2020-07-27,1011010101,198.00900000000001
2020-07-27,1011010201,42.876
2020-07-27,1011010402,17.265
2020-07-27,1011010501,36.121
2020-07-27,1011010504,71.402
2020-07-27,1011010801,52.777
2020-07-28,1011010101,165.443
2020-07-28,1011010201,34.937
2020-07-28,1011010402,13.959
2020-07-28,1011010501,40.34
2020-07-28,1011010504,66.001
2020-07-28,1011010801,47.728
2020-07-29,1011010101,193.729
2020-07-29,1011010201,42.22
2020-07-29,1011010402,18.597
2020-07-29,1011010501,40.777
2020-07-29,1011010504,82.494
2020-07-29,1011010801,54.315
2020-07-30,1011010101,201.743
2020-07-30,1011010201,38.198
2020-07-30,1011010402,10.645
2020-07-30,1011010501,46.311
2020-07-30,1011010504,67.643
2020-07-30,1011010801,50.774
2020-07-31,1011010101,197.166
2020-07-31,1011010201,37.549
2020-07-31,1011010402,19.062
2020-07-31,1011010501,34.092
2020-07-31,1011010504,41.104
2020-07-31,1011010801,45.587
2020-08-01,1011010101,229.89000000000001
2020-08-01,1011010201,54.362
2020-08-01,1011010402,21.432
2020-08-01,1011010501,48.805
2020-08-01,1011010504,66.156
2020-08-01,1011010801,53.797
2020-08-02,1011010101,243.138
2020-08-02,1011010201,49.219
2020-08-02,1011010402,56.154
2020-08-02,1011010501,50.893
2020-08-02,1011010504,67.963
2020-08-02,1011010801,54.961
2020-08-03,1011010101,207.843
2020-08-03,1011010201,44.426
2020-08-03,1011010402,15.555
2020-08-03,1011010501,45.191
2020-08-03,1011010504,86.474
2020-08-03,1011010801,48.575
2020-08-04,1011010101,180.012
2020-08-04,1011010201,44.534
2020-08-04,1011010402,26.208
2020-08-04,1011010501,30.591
2020-08-04,1011010504,73.365
2020-08-04,1011010801,45.301
2020-08-05,1011010101,244.395
2020-08-05,1011010201,43.631
2020-08-05,1011010402,21.452
2020-08-05,1011010501,49.472
2020-08-05,1011010504,82.229
2020-08-05,1011010801,62.839999999999996
2020-08-06,1011010101,234.777
2020-08-06,1011010201,40.827
2020-08-06,1011010402,19.115000000000002
2020-08-06,1011010501,31.596
2020-08-06,1011010504,74.047
2020-08-06,1011010801,48.611
2020-08-07,1011010101,204.941
2020-08-07,1011010201,40.272
2020-08-07,1011010402,25.415
2020-08-07,1011010501,51.799
2020-08-07,1011010504,78.611
2020-08-07,1011010801,68.177
2020-08-08,1011010101,311.161
2020-08-08,1011010201,58.156
2020-08-08,1011010402,27.461
2020-08-08,1011010501,63.764
2020-08-08,1011010504,100.292
2020-08-08,1011010801,92.144
2020-08-09,1011010101,250.59
2020-08-09,1011010201,54.876
2020-08-09,1011010402,25.9
2020-08-09,1011010501,51.835
2020-08-09,1011010504,73.684
2020-08-09,1011010801,73.073
2020-08-10,1011010101,210.292
2020-08-10,1011010201,50.7
2020-08-10,1011010402,30.683
2020-08-10,1011010501,47.664
2020-08-10,1011010504,78.735
2020-08-10,1011010801,36.094
2020-08-11,1011010101,216.713
2020-08-11,1011010201,56.279
2020-08-11,1011010402,20.458
2020-08-11,1011010501,33.572
2020-08-11,1011010504,73.292
2020-08-11,1011010801,40.017
2020-08-12,1011010101,206.877
2020-08-12,1011010201,50.065
2020-08-12,1011010402,27.355
2020-08-12,1011010501,36.009
2020-08-12,1011010504,85.166
2020-08-12,1011010801,34.195
2020-08-13,1011010101,188.208
2020-08-13,1011010201,47.468
2020-08-13,1011010402,19.323999999999998
2020-08-13,1011010501,31.109
2020-08-13,1011010504,61.768
2020-08-13,1011010801,35.65
2020-08-14,1011010101,217.758
2020-08-14,1011010201,58.582
2020-08-14,1011010402,29.991
2020-08-14,1011010501,37.826
2020-08-14,1011010504,76.489
2020-08-14,1011010801,53.795
2020-08-15,1011010101,245.136
2020-08-15,1011010201,79.38
2020-08-15,1011010402,25.642
2020-08-15,1011010501,43.279
2020-08-15,1011010504,94.285
2020-08-15,1011010801,58.015
2020-08-16,1011010101,241.48
2020-08-16,1011010201,60.231
2020-08-16,1011010402,24.454
2020-08-16,1011010501,48.366
2020-08-16,1011010504,95.285
2020-08-16,1011010801,55.093
2020-08-17,1011010101,215.633
2020-08-17,1011010201,51.749
2020-08-17,1011010402,15.916
2020-08-17,1011010501,35.014
2020-08-17,1011010504,72.953
2020-08-17,1011010801,47.418
2020-08-18,1011010101,225.113
2020-08-18,1011010201,55.92
2020-08-18,1011010402,21.753
2020-08-18,1011010501,34.019
2020-08-18,1011010504,76.92
2020-08-18,1011010801,45.716
2020-08-19,1011010101,214.173
2020-08-19,1011010201,64.06099999999999
2020-08-19,1011010402,17.95
2020-08-19,1011010501,30.347
2020-08-19,1011010504,80.919
2020-08-19,1011010801,50.126
2020-08-20,1011010101,233.532
2020-08-20,1011010201,69.587
2020-08-20,1011010402,22.966
2020-08-20,1011010501,37.957
2020-08-20,1011010504,75.953
2020-08-20,1011010801,54.411
2020-08-21,1011010101,207.076
2020-08-21,1011010201,50.062
2020-08-21,1011010402,34.598
2020-08-21,1011010501,29.694
2020-08-21,1011010504,85.19800000000001
2020-08-21,1011010801,50.0
2020-08-22,1011010101,273.081
2020-08-22,1011010201,55.886
2020-08-22,1011010402,42.772
2020-08-22,1011010501,30.422
2020-08-22,1011010504,116.801
2020-08-22,1011010801,49.895
2020-08-23,1011010101,261.552
2020-08-23,1011010201,71.556
2020-08-23,1011010402,46.057
2020-08-23,1011010501,47.316
2020-08-23,1011010504,93.714
2020-08-23,1011010801,55.226
2020-08-24,1011010101,260.694
2020-08-24,1011010201,41.784
2020-08-24,1011010402,20.305
2020-08-24,1011010501,26.874
2020-08-24,1011010504,97.079
2020-08-24,1011010801,39.576
2020-08-25,1011010101,343.427
2020-08-25,1011010201,47.761
2020-08-25,1011010402,20.062
2020-08-25,1011010501,23.272000000000002
2020-08-25,1011010504,107.21300000000001
2020-08-25,1011010801,54.488
2020-08-26,1011010101,241.686
2020-08-26,1011010201,82.544
2020-08-26,1011010402,18.95
2020-08-26,1011010501,30.722
2020-08-26,1011010504,82.32000000000001
2020-08-26,1011010801,42.811
2020-08-27,1011010101,199.007
2020-08-27,1011010201,92.506
2020-08-27,1011010402,19.487000000000002
2020-08-27,1011010501,19.129
2020-08-27,1011010504,89.92
2020-08-27,1011010801,50.458
2020-08-28,1011010101,195.032
2020-08-28,1011010201,39.93
2020-08-28,1011010402,20.997
2020-08-28,1011010501,24.597
2020-08-28,1011010504,156.11
2020-08-28,1011010801,55.659
2020-08-29,1011010101,267.031
2020-08-29,1011010201,56.803
2020-08-29,1011010402,65.814
2020-08-29,1011010501,30.675
2020-08-29,1011010504,145.627
2020-08-29,1011010801,62.431
2020-08-30,1011010101,266.387
2020-08-30,1011010201,80.779
2020-08-30,1011010402,30.005
2020-08-30,1011010501,21.641000000000002
2020-08-30,1011010504,155.811
2020-08-30,1011010801,73.195
2020-08-31,1011010101,224.882
2020-08-31,1011010201,54.722
2020-08-31,1011010402,52.949
2020-08-31,1011010501,15.943
2020-08-31,1011010504,117.965
2020-08-31,1011010801,44.776
2020-09-01,1011010101,190.627
2020-09-01,1011010201,55.858
2020-09-01,1011010402,47.658
2020-09-01,1011010501,26.329
2020-09-01,1011010504,102.504
2020-09-01,1011010801,47.282000000000004
2020-09-02,1011010101,179.819
2020-09-02,1011010201,38.716
2020-09-02,1011010402,17.941
2020-09-02,1011010501,13.873000000000001
2020-09-02,1011010504,83.969
2020-09-02,1011010801,51.011
2020-09-03,1011010101,193.463
2020-09-03,1011010201,38.893
2020-09-03,1011010402,15.996
2020-09-03,1011010501,14.172
2020-09-03,1011010504,87.119
2020-09-03,1011010801,48.163
2020-09-04,1011010101,176.316
2020-09-04,1011010201,46.612
2020-09-04,1011010402,16.635
2020-09-04,1011010501,20.233
2020-09-04,1011010504,91.579
2020-09-04,1011010801,54.43
2020-09-05,1011010101,249.559
2020-09-05,1011010201,57.828
2020-09-05,1011010402,42.554
2020-09-05,1011010501,33.731
2020-09-05,1011010504,110.43900000000001
2020-09-05,1011010801,62.594
2020-09-06,1011010101,275.793
2020-09-06,1011010201,53.202
2020-09-06,1011010402,46.963
2020-09-06,1011010501,33.397
2020-09-06,1011010504,126.5
2020-09-06,1011010801,78.472
2020-09-07,1011010101,148.221
2020-09-07,1011010201,26.257
2020-09-07,1011010402,38.926
2020-09-07,1011010501,17.365
2020-09-07,1011010504,56.473
2020-09-07,1011010801,41.804
2020-09-08,1011010101,158.329
2020-09-08,1011010201,33.239
2020-09-08,1011010402,19.127
2020-09-08,1011010501,20.623
2020-09-08,1011010504,50.259
2020-09-08,1011010801,32.389
2020-09-09,1011010101,131.492
2020-09-09,1011010201,32.73
2020-09-09,1011010402,12.161
2020-09-09,1011010501,12.041
2020-09-09,1011010504,39.795
2020-09-09,1011010801,33.45
2020-09-10,1011010101,119.919
2020-09-10,1011010201,57.319
2020-09-10,1011010402,14.492
2020-09-10,1011010501,16.916
2020-09-10,1011010504,49.321
2020-09-10,1011010801,35.789
2020-09-11,1011010101,151.957
2020-09-11,1011010201,31.538
2020-09-11,1011010402,13.364
2020-09-11,1011010501,22.019
2020-09-11,1011010504,50.22
2020-09-11,1011010801,48.467
2020-09-12,1011010101,231.525
2020-09-12,1011010201,43.337
2020-09-12,1011010402,16.957
2020-09-12,1011010501,21.411
2020-09-12,1011010504,74.51
2020-09-12,1011010801,73.173
2020-09-13,1011010101,263.345
2020-09-13,1011010201,41.704
2020-09-13,1011010402,18.739
2020-09-13,1011010501,28.737
2020-09-13,1011010504,83.723
2020-09-13,1011010801,74.834
2020-09-14,1011010101,175.844
2020-09-14,1011010201,64.257
2020-09-14,1011010402,17.361
2020-09-14,1011010501,16.134
2020-09-14,1011010504,48.55
2020-09-14,1011010801,31.147
2020-09-15,1011010101,156.048
2020-09-15,1011010201,29.878
2020-09-15,1011010402,19.219
2020-09-15,1011010501,13.243
2020-09-15,1011010504,49.991
2020-09-15,1011010801,41.578
2020-09-16,1011010101,176.949
2020-09-16,1011010201,59.448
2020-09-16,1011010402,18.818
2020-09-16,1011010501,15.194
2020-09-16,1011010504,46.895
2020-09-16,1011010801,35.413
2020-09-17,1011010101,143.534
2020-09-17,1011010201,32.648
2020-09-17,1011010402,17.437
2020-09-17,1011010501,22.924
2020-09-17,1011010504,46.145
2020-09-17,1011010801,39.259
2020-09-18,1011010101,154.388
2020-09-18,1011010201,27.705
2020-09-18,1011010402,11.389
2020-09-18,1011010501,13.805
2020-09-18,1011010504,48.075
2020-09-18,1011010801,38.541
2020-09-19,1011010101,235.874
2020-09-19,1011010201,82.76
2020-09-19,1011010402,39.431
2020-09-19,1011010501,30.406
2020-09-19,1011010504,84.269
2020-09-19,1011010801,60.52
2020-09-20,1011010101,317.998
2020-09-20,1011010201,53.497
2020-09-20,1011010402,39.551
2020-09-20,1011010501,41.474000000000004
2020-09-20,1011010504,99.148
2020-09-20,1011010801,50.42
2020-09-21,1011010101,212.997
2020-09-21,1011010201,39.191
2020-09-21,1011010402,16.289
2020-09-21,1011010501,20.868000000000002
2020-09-21,1011010504,56.561
2020-09-21,1011010801,63.529
2020-09-22,1011010101,232.243
2020-09-22,1011010201,40.905
2020-09-22,1011010402,37.808
2020-09-22,1011010501,25.819
2020-09-22,1011010504,77.009
2020-09-22,1011010801,49.058
2020-09-23,1011010101,179.262
2020-09-23,1011010201,31.972
2020-09-23,1011010402,18.629
2020-09-23,1011010501,22.515
2020-09-23,1011010504,54.327
2020-09-23,1011010801,56.265
2020-09-24,1011010101,162.861
2020-09-24,1011010201,38.952
2020-09-24,1011010402,51.886
2020-09-24,1011010501,18.9
2020-09-24,1011010504,50.486
2020-09-24,1011010801,61.011
2020-09-25,1011010101,173.781
2020-09-25,1011010201,41.561
2020-09-25,1011010402,22.732
2020-09-25,1011010501,26.529
2020-09-25,1011010504,53.938
2020-09-25,1011010801,64.509
2020-09-26,1011010101,226.926
2020-09-26,1011010201,86.643
2020-09-26,1011010402,65.744
2020-09-26,1011010501,33.517
2020-09-26,1011010504,68.094
2020-09-26,1011010801,94.495
2020-09-27,1011010101,199.813
2020-09-27,1011010201,35.964
2020-09-27,1011010402,28.289
2020-09-27,1011010501,20.532
2020-09-27,1011010504,54.459
2020-09-27,1011010801,72.522
2020-09-28,1011010101,114.933
2020-09-28,1011010201,24.576
2020-09-28,1011010402,11.860999999999999
2020-09-28,1011010501,18.401
2020-09-28,1011010504,37.410000000000004
2020-09-28,1011010801,46.913000000000004
2020-09-29,1011010101,157.957
2020-09-29,1011010201,28.105
2020-09-29,1011010402,24.134999999999998
2020-09-29,1011010501,24.719
2020-09-29,1011010504,57.017
2020-09-29,1011010801,45.485
2020-09-30,1011010101,177.129
2020-09-30,1011010201,60.771
2020-09-30,1011010402,36.839
2020-09-30,1011010501,25.865
2020-09-30,1011010504,53.628
2020-09-30,1011010801,110.358
2020-10-01,1011010101,248.415
2020-10-01,1011010201,93.928
2020-10-01,1011010402,55.356
2020-10-01,1011010501,32.482
2020-10-01,1011010504,64.092
2020-10-01,1011010801,103.929
2020-10-02,1011010101,244.124
2020-10-02,1011010201,67.145
2020-10-02,1011010402,21.931
2020-10-02,1011010501,38.762
2020-10-02,1011010504,69.054
2020-10-02,1011010801,89.316
2020-10-03,1011010101,298.341
2020-10-03,1011010201,44.493
2020-10-03,1011010402,18.497
2020-10-03,1011010501,63.535
2020-10-03,1011010504,84.728
2020-10-03,1011010801,60.052
2020-10-04,1011010101,232.776
2020-10-04,1011010201,34.491
2020-10-04,1011010402,19.254
2020-10-04,1011010501,43.849000000000004
2020-10-04,1011010504,75.21
2020-10-04,1011010801,122.501
2020-10-05,1011010101,294.623
2020-10-05,1011010201,92.279
2020-10-05,1011010402,79.752
2020-10-05,1011010501,31.128
2020-10-05,1011010504,87.933
2020-10-05,1011010801,126.518
2020-10-06,1011010101,286.959
2020-10-06,1011010201,108.157
2020-10-06,1011010402,25.784
2020-10-06,1011010501,42.318
2020-10-06,1011010504,81.727
2020-10-06,1011010801,124.059
2020-10-07,1011010101,255.37800000000001
2020-10-07,1011010201,56.266
2020-10-07,1011010402,52.907
2020-10-07,1011010501,29.085
2020-10-07,1011010504,63.151
2020-10-07,1011010801,80.421
2020-10-08,1011010101,252.73
2020-10-08,1011010201,49.58
2020-10-08,1011010402,31.952
2020-10-08,1011010501,33.49
2020-10-08,1011010504,72.023
2020-10-08,1011010801,328.488
2020-10-09,1011010101,162.518
2020-10-09,1011010201,55.845
2020-10-09,1011010402,51.476
2020-10-09,1011010501,24.289
2020-10-09,1011010504,51.243
2020-10-09,1011010801,57.258
2020-10-10,1011010101,175.163
2020-10-10,1011010201,37.393
2020-10-10,1011010402,22.07
2020-10-10,1011010501,26.814
2020-10-10,1011010504,52.511
2020-10-10,1011010801,75.63
2020-10-11,1011010101,238.081
2020-10-11,1011010201,60.47
2020-10-11,1011010402,57.223
2020-10-11,1011010501,34.726
2020-10-11,1011010504,70.214
2020-10-11,1011010801,163.664
2020-10-12,1011010101,170.212
2020-10-12,1011010201,34.815
2020-10-12,1011010402,38.333
2020-10-12,1011010501,17.876
2020-10-12,1011010504,48.979
2020-10-12,1011010801,102.385
2020-10-13,1011010101,177.945
2020-10-13,1011010201,47.321
2020-10-13,1011010402,50.519
2020-10-13,1011010501,23.119
2020-10-13,1011010504,49.116
2020-10-13,1011010801,48.021
2020-10-14,1011010101,182.96
2020-10-14,1011010201,48.259
2020-10-14,1011010402,46.207
2020-10-14,1011010501,13.741999999999999
2020-10-14,1011010504,46.36
2020-10-14,1011010801,73.831
2020-10-15,1011010101,190.238
2020-10-15,1011010201,59.624
2020-10-15,1011010402,42.162
2020-10-15,1011010501,19.447
2020-10-15,1011010504,45.236
2020-10-15,1011010801,72.91
2020-10-16,1011010101,170.77
2020-10-16,1011010201,88.361
2020-10-16,1011010402,58.973
2020-10-16,1011010501,20.139
2020-10-16,1011010504,44.67
2020-10-16,1011010801,69.80499999999999
2020-10-17,1011010101,248.762
2020-10-17,1011010201,109.311
2020-10-17,1011010402,87.12
2020-10-17,1011010501,30.556
2020-10-17,1011010504,96.277
2020-10-17,1011010801,115.557
2020-10-18,1011010101,226.73499999999999
2020-10-18,1011010201,91.59700000000001
2020-10-18,1011010402,79.338
2020-10-18,1011010501,36.361
2020-10-18,1011010504,88.247
2020-10-18,1011010801,113.125
2020-10-19,1011010101,152.709
2020-10-19,1011010201,57.412
2020-10-19,1011010402,40.6
2020-10-19,1011010501,20.03
2020-10-19,1011010504,56.69
2020-10-19,1011010801,58.338
2020-10-20,1011010101,186.078
2020-10-20,1011010201,30.899
2020-10-20,1011010402,49.434
2020-10-20,1011010501,13.777
2020-10-20,1011010504,49.296
2020-10-20,1011010801,45.419
2020-10-21,1011010101,168.765
2020-10-21,1011010201,40.555
2020-10-21,1011010402,21.201
2020-10-21,1011010501,15.327
2020-10-21,1011010504,48.047
2020-10-21,1011010801,56.114
2020-10-22,1011010101,117.235
2020-10-22,1011010201,26.166
2020-10-22,1011010402,35.917
2020-10-22,1011010501,14.725
2020-10-22,1011010504,50.037
2020-10-22,1011010801,94.688
2020-10-23,1011010101,211.914
2020-10-23,1011010201,23.854
2020-10-23,1011010402,30.801
2020-10-23,1011010501,14.427
2020-10-23,1011010504,43.758
2020-10-23,1011010801,114.306
2020-10-24,1011010101,282.107
2020-10-24,1011010201,31.113
2020-10-24,1011010402,67.932
2020-10-24,1011010501,22.221
2020-10-24,1011010504,77.097
2020-10-24,1011010801,115.39
2020-10-25,1011010101,223.397
2020-10-25,1011010201,43.114
2020-10-25,1011010402,71.16
2020-10-25,1011010501,30.136
2020-10-25,1011010504,72.537
2020-10-25,1011010801,104.16
2020-10-26,1011010101,157.373
2020-10-26,1011010201,22.371
2020-10-26,1011010402,20.666
2020-10-26,1011010501,10.797
2020-10-26,1011010504,45.439
2020-10-26,1011010801,62.363
2020-10-27,1011010101,154.566
2020-10-27,1011010201,23.305
2020-10-27,1011010402,21.273
2020-10-27,1011010501,13.444
2020-10-27,1011010504,45.479
2020-10-27,1011010801,56.508
2020-10-28,1011010101,167.542
2020-10-28,1011010201,30.297
2020-10-28,1011010402,32.418
2020-10-28,1011010501,12.238
2020-10-28,1011010504,49.395
2020-10-28,1011010801,75.211
2020-10-29,1011010101,120.551
2020-10-29,1011010201,24.902
2020-10-29,1011010402,15.828
2020-10-29,1011010501,14.436
2020-10-29,1011010504,52.653999999999996
2020-10-29,1011010801,81.051
2020-10-30,1011010101,148.243
2020-10-30,1011010201,28.939
2020-10-30,1011010402,18.769000000000002
2020-10-30,1011010501,12.192
2020-10-30,1011010504,46.452
2020-10-30,1011010801,74.23
2020-10-31,1011010101,248.102
2020-10-31,1011010201,82.701
2020-10-31,1011010402,79.265
2020-10-31,1011010501,16.499
2020-10-31,1011010504,81.292
2020-10-31,1011010801,135.284
2020-11-01,1011010101,206.956
2020-11-01,1011010201,69.062
2020-11-01,1011010402,71.332
2020-11-01,1011010501,15.407
2020-11-01,1011010504,73.722
2020-11-01,1011010801,127.967
2020-11-02,1011010101,144.442
2020-11-02,1011010201,32.726
2020-11-02,1011010402,15.053
2020-11-02,1011010501,11.378
2020-11-02,1011010504,54.351
2020-11-02,1011010801,78.321
2020-11-03,1011010101,135.067
2020-11-03,1011010201,51.945
2020-11-03,1011010402,15.727
2020-11-03,1011010501,10.846
2020-11-03,1011010504,66.834
2020-11-03,1011010801,64.341
2020-11-04,1011010101,122.114
2020-11-04,1011010201,67.527
2020-11-04,1011010402,18.183
2020-11-04,1011010501,10.702
2020-11-04,1011010504,59.731
2020-11-04,1011010801,195.34
2020-11-05,1011010101,146.327
2020-11-05,1011010201,57.354
2020-11-05,1011010402,8.347
2020-11-05,1011010501,9.067
2020-11-05,1011010504,45.282
2020-11-05,1011010801,129.089
2020-11-06,1011010101,142.586
2020-11-06,1011010201,95.136
2020-11-06,1011010402,13.443
2020-11-06,1011010501,7.22
2020-11-06,1011010504,49.287
2020-11-06,1011010801,80.153
2020-11-07,1011010101,223.593
2020-11-07,1011010201,121.453
2020-11-07,1011010402,71.413
2020-11-07,1011010501,10.878
2020-11-07,1011010504,69.738
2020-11-07,1011010801,122.896
2020-11-08,1011010101,209.808
2020-11-08,1011010201,125.591
2020-11-08,1011010402,58.207
2020-11-08,1011010501,16.906
2020-11-08,1011010504,78.907
2020-11-08,1011010801,124.492
2020-11-09,1011010101,144.911
2020-11-09,1011010201,57.592
2020-11-09,1011010402,14.579
2020-11-09,1011010501,10.063
2020-11-09,1011010504,64.616
2020-11-09,1011010801,63.22
2020-11-10,1011010101,157.962
2020-11-10,1011010201,25.698
2020-11-10,1011010402,12.103
2020-11-10,1011010501,9.574
2020-11-10,1011010504,54.663
2020-11-10,1011010801,64.18
2020-11-11,1011010101,150.867
2020-11-11,1011010201,63.25
2020-11-11,1011010402,17.155
2020-11-11,1011010501,15.585
2020-11-11,1011010504,65.834
2020-11-11,1011010801,64.522
2020-11-12,1011010101,151.144
2020-11-12,1011010201,13.406
2020-11-12,1011010402,15.237
2020-11-12,1011010501,15.508000000000001
2020-11-12,1011010504,58.851
2020-11-12,1011010801,68.656
2020-11-13,1011010101,141.977
2020-11-13,1011010201,60.306
2020-11-13,1011010402,13.766
2020-11-13,1011010501,8.044
2020-11-13,1011010504,70.246
2020-11-13,1011010801,67.676
2020-11-14,1011010101,207.145
2020-11-14,1011010201,84.001
2020-11-14,1011010402,58.127
2020-11-14,1011010501,18.146
2020-11-14,1011010504,71.84
2020-11-14,1011010801,92.793
2020-11-15,1011010101,227.231
2020-11-15,1011010201,77.798
2020-11-15,1011010402,45.353
2020-11-15,1011010501,17.736
2020-11-15,1011010504,74.078
2020-11-15,1011010801,73.108
2020-11-16,1011010101,140.087
2020-11-16,1011010201,48.64
2020-11-16,1011010402,14.450000000000001
2020-11-16,1011010501,15.672
2020-11-16,1011010504,45.345
2020-11-16,1011010801,54.363
2020-11-17,1011010101,222.517
2020-11-17,1011010201,43.621
2020-11-17,1011010402,24.762
2020-11-17,1011010501,12.224
2020-11-17,1011010504,43.486
2020-11-17,1011010801,131.979
2020-11-18,1011010101,203.322
2020-11-18,1011010201,50.438
2020-11-18,1011010402,19.171
2020-11-18,1011010501,15.946
2020-11-18,1011010504,45.407000000000004
2020-11-18,1011010801,99.089
2020-11-19,1011010101,207.8
2020-11-19,1011010201,77.165
2020-11-19,1011010402,22.977
2020-11-19,1011010501,12.808
2020-11-19,1011010504,59.111
2020-11-19,1011010801,90.297
2020-11-20,1011010101,244.555
2020-11-20,1011010201,52.701
2020-11-20,1011010402,22.48
2020-11-20,1011010501,9.804
2020-11-20,1011010504,53.492
2020-11-20,1011010801,70.888
2020-11-21,1011010101,460.103
2020-11-21,1011010201,114.066
2020-11-21,1011010402,95.375
2020-11-21,1011010501,25.15
2020-11-21,1011010504,79.344
