season,week,actual_eliminated,simulated_eliminated,is_correct
2,7,"['Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna']",Jerry Rice,False
3,1,"['Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Shanna Moakler', 'Shanna Moakler', 'Tucker Carlson', 'Harry Hamlin', 'Harry Hamlin', 'Harry Hamlin', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer']",Monique Coleman,True
3,2,"['Shanna Moakler', 'Shanna Moakler', 'Harry Hamlin', 'Harry Hamlin', 'Harry Hamlin', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer']",Shanna Moakler,True
3,3,"['Harry Hamlin', 'Harry Hamlin', 'Harry Hamlin', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer']",Harry Hamlin,True
3,4,"['Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Vivica A. Fox', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford']",Vivica A. Fox,True
3,5,"['Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Willa Ford', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer']",Willa Ford,True
3,6,"['Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer']",Monique Coleman,True
3,7,"['Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Jerry Springer', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman']",Jerry Springer,True
3,8,"['Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman', 'Monique Coleman']",Monique Coleman,True
4,1,"['Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Shandi Finnessey', 'Shandi Finnessey', 'Shandi Finnessey', 'Paulina Porizkova', 'Paulina Porizkova', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering']",Billy Ray Cyrus,True
4,2,"['Paulina Porizkova', 'Paulina Porizkova', 'Shandi Finnessey', 'Shandi Finnessey', 'Shandi Finnessey', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Billy Ray Cyrus', 'Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Leeza Gibbons', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler']",Paulina Porizkova,True
4,3,"['Shandi Finnessey', 'Shandi Finnessey', 'Shandi Finnessey', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler']",Shandi Finnessey,True
4,4,"['Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'Leeza Gibbons', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler']",Leeza Gibbons,True
4,5,"['Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler', 'Clyde Drexler']",Billy Ray Cyrus,True
4,6,"['Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Heather Mills', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering']",Heather Mills,True
4,7,"['John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'John Ratzenberger', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering']",John Ratzenberger,True
4,8,"['Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Billy Ray Cyrus', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering']",Billy Ray Cyrus,True
4,9,"['Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering', 'Ian Ziering']",Ian Ziering,True
5,1,"['Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Wayne Newton', 'Wayne Newton', 'Wayne Newton', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Albert Reed', 'Albert Reed', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Josie Maran']",Floyd Mayweather Jr. ,True
5,2,"['Albert Reed', 'Albert Reed', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Cameron Mathison', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Wayne Newton', 'Wayne Newton', 'Wayne Newton']",Albert Reed,True
5,3,"['Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Wayne Newton', 'Wayne Newton', 'Wayne Newton']",Mark Cuban,True
5,4,"['Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Floyd Mayweather Jr. ', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban']",Floyd Mayweather Jr. ,True
5,5,"['Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban', 'Mark Cuban']",Helio Castroneves,False
5,6,"['Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Sabrina Bryan', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth']",Sabrina Bryan,True
5,7,"['Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jane Seymour', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth']",Cameron Mathison,True
5,8,"['Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Cameron Mathison', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth']",Cameron Mathison,True
5,9,"['Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth', 'Jennie Garth']",Marie Osmond,False
6,1,"['Monica Seles', 'Monica Seles', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Penn Jillette', 'Penn Jillette', 'Steve Guttenberg', 'Steve Guttenberg', 'Steve Guttenberg', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Mario', 'Mario', 'Mario', 'Mario', 'Priscilla Presley', 'Priscilla Presley', 'Mario', 'Mario', 'Mario', 'Mario']",Monica Seles,True
6,2,"['Penn Jillette', 'Penn Jillette', 'Monica Seles', 'Monica Seles', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Priscilla Presley', 'Marissa Jaret Winokur', 'Priscilla Presley', 'Priscilla Presley', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Priscilla Presley', 'Priscilla Presley', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Marlee Matlin', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Marlee Matlin', 'Marlee Matlin', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Steve Guttenberg', 'Steve Guttenberg', 'Steve Guttenberg']",Penn Jillette,True
6,3,"['Steve Guttenberg', 'Steve Guttenberg', 'Steve Guttenberg', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur']",Steve Guttenberg,True
6,4,"['Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Adam Carolla', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur']",Adam Carolla,True
6,5,"['Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Priscilla Presley', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur']",Priscilla Presley,True
6,6,"['Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Marlee Matlin', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur']",Marlee Matlin,True
6,7,"['Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Shannon Elizabeth', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Mario', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur', 'Marissa Jaret Winokur']",Shannon Elizabeth,True
