season,week,rule,actual_eliminated,predicted_candidates,consistent
28,8,rank_save,Kate Flannery,"Kate Flannery, Sean Spicer",True
28,9,rank_save,Sean Spicer,"Sean Spicer, Lauren Alaina",True
28,10,rank_save,James Van Der Beek,"James Van Der Beek, Hannah Brown",True
29,2,rank_save,Charles Oakley,"Charles Oakley, Skai Jackson",True
29,3,rank_save,Carole Baskin,"Carole Baskin, Anne Heche",True
29,4,rank_save,Anne Heche,"Anne Heche, Nelly",True
29,5,rank_save,Jesse Metcalfe,"Jesse Metcalfe, Chrishell Stause",True
29,6,rank_save,Veron Davis,"Veron Davis, Skai Jackson",True
29,7,rank_save,Monica Aldama,"Monica Aldama, Kaitlyn Bristowe",True
29,8,rank_save,Chrishell Stause,"Chrishell Stause, Nelly",True
29,9,rank_save,AJ McLean,"AJ McLean, Nelly",True
29,10,rank_save,Skai Jackson,"Skai Jackson, Nelly",True
30,2,rank_save,Martin Kove,"Martin Kove, Matt James",True
30,3,rank_save,Christine Chiu,"Christine Chiu, Cody Rigsby",True
30,4,rank_save,Brian Austin Green,"Brian Austin Green, Matt James",True
30,5,rank_save,Melanie C,"Melanie C, Iman Shumpert",True
30,6,rank_save,Kenya Moore,"Kenya Moore, Mike ""The Miz"" Mizanin",True
30,7,rank_save,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin, Suni Lee",True
30,8,rank_save,Jimmie Allen,"Jimmie Allen, Iman Shumpert",True
30,9,rank_save,Melora Hardin,"Melora Hardin, Cody Rigsby",True
31,1,rank_save,Jason Lewis,"Jason Lewis, Vinny Guadagnino",True
31,2,rank_save,Teresa Giudice,"Teresa Giudice, Cheryl Ladd",True
31,3,rank_save,Cheryl Ladd,"Cheryl Ladd, Vinny Guadagnino",True
31,4,rank_save,Sam Champion,"Sam Champion, Joseph Baena",True
31,5,rank_save,Joseph Baena,"Joseph Baena, Vinny Guadagnino",True
31,6,rank_save,Jessie James Decker,"Jessie James Decker, Vinny Guadagnino",True
31,7,rank_save,Jordin Sparks,"Jordin Sparks, Vinny Guadagnino",True
31,8,rank_save,Heidi D'Amelio,"Heidi D'Amelio, Vinny Guadagnino",True
31,9,rank_save,Trevor Donovan,"Trevor Donovan, Daniel Durant",True
32,1,rank_save,Matt Walsh,"Matt Walsh, Harry Jowsey",True
32,2,rank_save,Jamie Lynn Spears,"Jamie Lynn Spears, Mauricio Umansky",True
32,3,rank_save,Tyson Beckford,"Tyson Beckford, Adrian Peterson",True
32,4,rank_save,Adrian Peterson,"Adrian Peterson, Barry Williams",True
32,5,rank_save,Mira Sorvino,"Mira Sorvino, Harry Jowsey",True
32,6,rank_save,Mauricio Umansky,"Mauricio Umansky, Harry Jowsey",True
32,7,rank_save,Lele Pons,"Harry Jowsey, Lele Pons",True
32,8,rank_save,Barry Williams,"Barry Williams, Harry Jowsey",True
32,9,rank_save,Harry Jowsey,"Harry Jowsey, Alyson Hannigan",True
33,2,rank_save,Tori Spelling,"Tori Spelling, Eric Roberts",True
33,3,rank_save,Eric Roberts,"Eric Roberts, Reginald VelJohnson",True
33,4,rank_save,Brooks Nader,"Brooks Nader, Dwight Howard ",True
33,5,rank_save,Phaedra Parks,"Phaedra Parks, Dwight Howard ",True
33,6,rank_save,Jenn Tran,"Ilona Maher, Jenn Tran",True
33,7,rank_save,Dwight Howard ,"Dwight Howard , Danny Amendola",True
34,2,rank_save,Corey Feldman,"Corey Feldman, Andy Richter",True
34,3,rank_save,Lauren Jauregui,"Lauren Jauregui, Andy Richter",True
34,4,rank_save,Hilaria Baldwin,"Hilaria Baldwin, Andy Richter",True
34,6,rank_save,Scott Hoying,"Scott Hoying, Andy Richter",True
34,7,rank_save,Jen Affleck,"Jen Affleck, Andy Richter",True
34,8,rank_save,Danielle Fishel,"Danielle Fishel, Andy Richter",True
34,9,rank_save,Andy Richter,"Andy Richter, Elaine Hendrix",True
34,10,rank_save,Whitney Leavitt,"Dylan Efron, Whitney Leavitt",True
